127.0.0.1 - - [25/Feb/2021:09:19:05 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [25/Feb/2021:09:19:07 +0900] "GET /javascript/basic/Exam10.html HTTP/1.1" 200 879
0:0:0:0:0:0:0:1 - - [25/Feb/2021:09:19:07 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Feb/2021:09:19:24 +0900] "GET /javascript/basic/Exam10.html HTTP/1.1" 200 878
0:0:0:0:0:0:0:1 - - [25/Feb/2021:09:19:43 +0900] "GET /javascript/basic/Exam10.html HTTP/1.1" 200 879
0:0:0:0:0:0:0:1 - - [25/Feb/2021:09:20:51 +0900] "GET /javascript/basic/Exam10.html HTTP/1.1" 200 879
0:0:0:0:0:0:0:1 - - [25/Feb/2021:09:21:22 +0900] "GET /javascript/basic/Exam10.html HTTP/1.1" 200 881
0:0:0:0:0:0:0:1 - - [25/Feb/2021:09:21:45 +0900] "GET /javascript/basic/Exam10.html HTTP/1.1" 200 880
0:0:0:0:0:0:0:1 - - [25/Feb/2021:09:34:05 +0900] "GET /javascript/basic/Exam11.html HTTP/1.1" 200 1278
0:0:0:0:0:0:0:1 - - [25/Feb/2021:09:45:08 +0900] "GET /javascript/basic/Exam12.html HTTP/1.1" 200 656
0:0:0:0:0:0:0:1 - - [25/Feb/2021:10:08:46 +0900] "GET /javascript/basic/Exam13.html HTTP/1.1" 200 767
0:0:0:0:0:0:0:1 - - [25/Feb/2021:10:12:10 +0900] "GET /javascript/basic/Exam13.html HTTP/1.1" 200 840
0:0:0:0:0:0:0:1 - - [25/Feb/2021:10:13:55 +0900] "GET /javascript/basic/Exam13.html HTTP/1.1" 200 888
0:0:0:0:0:0:0:1 - - [25/Feb/2021:10:14:42 +0900] "GET /javascript/basic/Exam13.html HTTP/1.1" 200 894
0:0:0:0:0:0:0:1 - - [25/Feb/2021:10:15:06 +0900] "GET /javascript/basic/Exam13.html HTTP/1.1" 200 895
0:0:0:0:0:0:0:1 - - [25/Feb/2021:10:21:59 +0900] "GET /javascript/basic/Exam14.html HTTP/1.1" 200 327
0:0:0:0:0:0:0:1 - - [25/Feb/2021:10:28:41 +0900] "GET /javascript/basic/Exam15.html HTTP/1.1" 200 434
0:0:0:0:0:0:0:1 - - [25/Feb/2021:10:28:59 +0900] "GET /javascript/basic/Exam15.html HTTP/1.1" 200 457
0:0:0:0:0:0:0:1 - - [25/Feb/2021:10:29:02 +0900] "GET /javascript/basic/Exam15.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2021:10:29:06 +0900] "GET /javascript/basic/Exam15.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2021:10:34:27 +0900] "GET /javascript/Quiz/Quiz01.html HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [25/Feb/2021:10:35:18 +0900] "GET /javascript/Quiz/Quiz01.html HTTP/1.1" 200 336
0:0:0:0:0:0:0:1 - - [25/Feb/2021:10:35:43 +0900] "GET /javascript/Quiz/Quiz01.html HTTP/1.1" 200 352
0:0:0:0:0:0:0:1 - - [25/Feb/2021:10:38:05 +0900] "GET /javascript/Quiz/Quiz01.html HTTP/1.1" 200 422
0:0:0:0:0:0:0:1 - - [25/Feb/2021:10:38:08 +0900] "GET /javascript/Quiz/Quiz01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2021:10:39:29 +0900] "GET /javascript/Quiz/Quiz01.html HTTP/1.1" 200 460
0:0:0:0:0:0:0:1 - - [25/Feb/2021:10:51:57 +0900] "GET /javascript/Quiz/Quiz01.html HTTP/1.1" 200 854
0:0:0:0:0:0:0:1 - - [25/Feb/2021:10:52:18 +0900] "GET /javascript/Quiz/Quiz01.html HTTP/1.1" 200 855
0:0:0:0:0:0:0:1 - - [25/Feb/2021:10:56:04 +0900] "GET /javascript/Quiz/Quiz01.html HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [25/Feb/2021:10:56:41 +0900] "GET /javascript/Quiz/Quiz01.html HTTP/1.1" 200 799
0:0:0:0:0:0:0:1 - - [25/Feb/2021:10:56:59 +0900] "GET /javascript/Quiz/Quiz01.html HTTP/1.1" 200 797
0:0:0:0:0:0:0:1 - - [25/Feb/2021:10:57:20 +0900] "GET /javascript/Quiz/Quiz01.html HTTP/1.1" 200 792
0:0:0:0:0:0:0:1 - - [25/Feb/2021:10:57:42 +0900] "GET /javascript/Quiz/Quiz01.html HTTP/1.1" 200 794
0:0:0:0:0:0:0:1 - - [25/Feb/2021:10:58:10 +0900] "GET /javascript/Quiz/Quiz01.html HTTP/1.1" 200 936
0:0:0:0:0:0:0:1 - - [25/Feb/2021:10:58:32 +0900] "GET /javascript/Quiz/Quiz01.html HTTP/1.1" 200 939
0:0:0:0:0:0:0:1 - - [25/Feb/2021:11:04:14 +0900] "GET /javascript/Quiz/Quiz01.html HTTP/1.1" 200 798
0:0:0:0:0:0:0:1 - - [25/Feb/2021:11:07:08 +0900] "GET /javascript/Quiz/Quiz01.html HTTP/1.1" 200 819
0:0:0:0:0:0:0:1 - - [25/Feb/2021:11:07:30 +0900] "GET /javascript/Quiz/Quiz01.html HTTP/1.1" 200 820
0:0:0:0:0:0:0:1 - - [25/Feb/2021:11:25:40 +0900] "GET /javascript/basic/Exam16.html HTTP/1.1" 200 932
0:0:0:0:0:0:0:1 - - [25/Feb/2021:11:26:00 +0900] "GET /javascript/basic/Exam16.html HTTP/1.1" 200 932
0:0:0:0:0:0:0:1 - - [25/Feb/2021:11:26:28 +0900] "GET /javascript/basic/Exam16.html HTTP/1.1" 200 932
0:0:0:0:0:0:0:1 - - [25/Feb/2021:11:28:01 +0900] "GET /javascript/basic/Exam16.html HTTP/1.1" 200 939
0:0:0:0:0:0:0:1 - - [25/Feb/2021:11:28:09 +0900] "GET /javascript/basic/Exam16.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2021:11:28:18 +0900] "GET /javascript/basic/Exam16.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2021:11:28:44 +0900] "GET /javascript/basic/Exam16.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2021:11:28:53 +0900] "GET /javascript/basic/Exam16.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2021:11:35:47 +0900] "GET /javascript/basic/Exam17.html HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [25/Feb/2021:11:36:12 +0900] "GET /javascript/basic/Exam17.html HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [25/Feb/2021:11:36:15 +0900] "GET /javascript/basic/Exam17.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2021:11:36:19 +0900] "GET /javascript/basic/Exam17.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2021:11:36:23 +0900] "GET /javascript/basic/Exam17.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2021:11:44:01 +0900] "GET /javascript/basic/Exam18.html HTTP/1.1" 200 414
0:0:0:0:0:0:0:1 - - [25/Feb/2021:11:44:38 +0900] "GET /javascript/basic/Exam18.html HTTP/1.1" 200 414
0:0:0:0:0:0:0:1 - - [25/Feb/2021:12:37:02 +0900] "GET /javascript/Quiz/Quiz02.html HTTP/1.1" 200 458
0:0:0:0:0:0:0:1 - - [25/Feb/2021:12:37:04 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Feb/2021:12:37:06 +0900] "GET /javascript/Quiz/Quiz02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2021:12:37:12 +0900] "GET /javascript/Quiz/Quiz02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2021:12:37:17 +0900] "GET /javascript/Quiz/Quiz02.html HTTP/1.1" 304 -
